Country,Sex,"Total mortality effect attributable to age structure, 2010-2019","Total disability effect attributable to age structure, 2010-2019","Total mortality effect attributable to population size, 2010-2019","Total disability effect attributable to population size, 2010-2019"
Sweden,Female,0.15,-0.08,0.34,0.91
Sweden,Both sexes,0.23,0.06,0.45,0.91
Switzerland,Male,0.49,0.58,0.65,1.1
Switzerland,Female,0.18,0.28,0.38,1.17
Switzerland,Both sexes,0.3,0.41,0.51,1.15
Syrian Arab Republic,Male,0.34,0.95,-5.63,-4.72
Syrian Arab Republic,Female,3,3.16,-2.41,-4.47
Syrian Arab Republic,Both sexes,2.72,2.21,-3.74,-4.7
Tajikistan,Male,0.4,0.48,2.71,1.61
Tajikistan,Female,0.18,0.46,2.19,1.98
Tajikistan,Both sexes,0.3,0.47,2.45,1.79
Thailand,Male,1.62,1.63,-0.29,-0.22
Thailand,Female,1.47,2.06,0.01,0.02
Thailand,Both sexes,1.54,1.86,-0.11,-0.12
Timor-Leste,Male,0.14,0.31,1.98,1.45
Timor-Leste,Female,0.11,0.47,2.03,1.72
Timor-Leste,Both sexes,0.13,0.39,2.01,1.58
Togo,Male,0.1,0.35,3.58,1.42
Togo,Female,0.32,0.69,3.19,2
Togo,Both sexes,0.23,0.54,3.41,1.72
Tonga,Male,0.51,0.35,-0.13,-0.1
Tonga,Female,0.43,0.53,0.08,0.1
Tonga,Both sexes,0.48,0.44,-0.02,-0.02
Trinidad and Tobago,Male,0.8,0.81,0.36,0.28
Trinidad and Tobago,Female,1.06,1.04,0.3,0.41
Trinidad and Tobago,Both sexes,0.94,0.92,0.34,0.34
Tunisia,Male,0.71,0.86,0.64,0.69
Tunisia,Female,0.82,1.34,0.54,0.98
Tunisia,Both sexes,0.78,1.08,0.6,0.83
Turkey,Male,0.68,0.86,0.93,0.86
Turkey,Female,0.43,0.94,0.7,1.28
Turkey,Both sexes,0.56,0.91,0.83,1.06
Turkmenistan,Male,0.97,0.6,1.08,0.61
Turkmenistan,Female,0.63,0.72,0.79,0.75
Turkmenistan,Both sexes,0.8,0.67,0.95,0.69
Uganda,Male,-0.02,0.33,3.76,1.65
Uganda,Female,0.33,0.73,3.32,2.13
Uganda,Both sexes,0.18,0.52,3.59,1.9
Ukraine,Male,0.05,0.11,-0.48,-0.34
Ukraine,Female,-0.04,0.07,-0.36,-0.53
Ukraine,Both sexes,-0.02,0.1,-0.44,-0.44
United Arab Emirates,Male,2.34,0.52,0.71,0.86
United Arab Emirates,Female,0.84,0.73,0.57,1.58
United Arab Emirates,Both sexes,1.88,0.52,0.69,1.01
United Kingdom,Male,0.35,0.4,0.47,0.67
United Kingdom,Female,0.11,0.1,0.36,0.85
United Kingdom,Both sexes,0.22,0.24,0.42,0.76
United Republic of Tanzania,Male,-0.02,0.32,3.39,1.54
United Republic of Tanzania,Female,-0.16,0.36,3.29,2.1
United Republic of Tanzania,Both sexes,-0.09,0.34,3.35,1.82
United States of America,Male,0.63,0.74,0.5,0.69
United States of America,Female,0.42,0.54,0.4,0.9
United States of America,Both sexes,0.52,0.63,0.45,0.8
United States Virgin Islands,Male,1.11,1.12,-1.77,-1.44
United States Virgin Islands,Female,1.43,1.76,-1.19,-2.33
United States Virgin Islands,Both sexes,1.24,1.43,-1.57,-1.86
Uruguay,Male,0.41,0.38,0.12,0.11
Uruguay,Female,0.19,0.5,0.14,0.24
Uruguay,Both sexes,0.3,0.44,0.14,0.17
Uzbekistan,Male,0.88,0.49,1.6,1.07
Uzbekistan,Female,0.57,0.56,1.3,1.39
Uzbekistan,Both sexes,0.73,0.52,1.46,1.24
Vanuatu,Male,0.54,0.33,2.2,1.12
Vanuatu,Female,0.7,0.67,1.83,1.65
Vanuatu,Both sexes,0.64,0.48,2.05,1.37
Venezuela (Bolivarian Republic of),Male,1.05,1.27,0.01,0.01
Venezuela (Bolivarian Republic of),Female,1.22,1.61,0.26,0.37
Venezuela (Bolivarian Republic of),Both sexes,1.18,1.45,0.17,0.17
Viet Nam,Male,0.96,0.56,1.01,0.67
Viet Nam,Female,0.56,0.72,0.63,0.85
Viet Nam,Both sexes,0.77,0.64,0.84,0.77
Western Pacific Region,Male,1.02,0.79,0.54,0.46
Western Pacific Region,Female,0.98,1.15,0.4,0.6
Western Pacific Region,Both sexes,1.03,0.96,0.48,0.53
Yemen,Male,-0.38,0.35,2.99,1.66
Yemen,Female,-0.18,0.7,2.66,2.62
Yemen,Both sexes,-0.28,0.52,2.84,2.11
Zambia,Male,-0.02,0.29,4.75,1.96
Zambia,Female,0.04,0.52,4.32,2.51
Zambia,Both sexes,0,0.39,4.57,2.23
Zimbabwe,Male,0.36,0.22,2.42,0.87
Zimbabwe,Female,0.52,0.4,2.45,1.2
Zimbabwe,Both sexes,0.45,0.32,2.45,1.04
